text,label
"I love playing football with my friends",en
"Today I am going to the beach",en
"Machine learning is transforming computer science",en
"This restaurant serves delicious food",en
"My laptop is not working properly",en
"She is watching a new series",en
"They are going to the mall",en
"I went to the gym this morning",en
"He enjoys reading books",en
"We are planning a trip to London",en
"The weather is sunny and warm",en
"I like cooking new recipes",en
"I am learning Python programming",en
"My car broke down yesterday",en
"She loves painting and drawing",en
"They are playing football",en
"I bought a new phone yesterday",en
"He is listening to music",en
"We visited a museum last weekend",en
"The meeting will start at 3 PM",en
"I need to finish my homework",en
"She is baking a cake",en
"He went to the supermarket",en
"They are watching a movie tonight",en
"I like jogging in the morning",en
"My favorite color is blue",en
"She is reading a novel",en
"We are having dinner together",en
"He is learning guitar",en
"I enjoy swimming in the pool",en
"They went hiking yesterday",en
"My sister is very talented",en
"She likes to write poems",en
"He is studying for exams",en
"We are playing board games",en
"I went shopping yesterday",en
"They are singing songs",en
"My brother is very tall",en
"She enjoys dancing",en
"I am drinking coffee",en
"They are driving to the city",en
"He is painting a landscape",en
"She loves travelling",en
"We are going to a concert",en
"I enjoy reading articles",en
"They are playing video games",en
"My father is cooking dinner",en
"She is learning French",en
"I am watching a documentary",en
"They are having fun",en
"Je vais au marché ce matin",fr
"J'aime jouer au football avec mes amis",fr
"L'apprentissage automatique transforme l'informatique",fr
"Ce restaurant sert de délicieux plats",fr
"Mon ordinateur portable ne fonctionne pas correctement",fr
"Elle regarde une nouvelle série",fr
"Ils vont au centre commercial",fr
"Je suis allé à la salle de sport ce matin",fr
"Il aime lire des livres",fr
"Nous planifions un voyage à Londres",fr
"Le temps est ensoleillé et chaud",fr
"J'aime cuisiner de nouvelles recettes",fr
"J'apprends la programmation Python",fr
"Ma voiture est tombée en panne hier",fr
"Elle adore peindre et dessiner",fr
"Ils jouent au football",fr
"J'ai acheté un nouveau téléphone hier",fr
"Il écoute de la musique",fr
"Nous avons visité un musée le week-end dernier",fr
"La réunion commencera à 15 heures",fr
"Je dois finir mes devoirs",fr
"Elle fait un gâteau",fr
"Il est allé au supermarché",fr
"Ils regardent un film ce soir",fr
"J'aime faire du jogging le matin",fr
"Ma couleur préférée est le bleu",fr
"Elle lit un roman",fr
"Nous dînons ensemble",fr
"Il apprend la guitare",fr
"J'aime nager dans la piscine",fr
"Ils sont partis en randonnée hier",fr
"Ma sœur est très talentueuse",fr
"Elle aime écrire des poèmes",fr
"Il étudie pour les examens",fr
"Nous jouons à des jeux de société",fr
"Je suis allé faire du shopping hier",fr
"Ils chantent des chansons",fr
"Mon frère est très grand",fr
"Elle aime danser",fr
"Je bois du café",fr
"Ils conduisent vers la ville",fr
"Il peint un paysage",fr
"Elle adore voyager",fr
"Nous allons à un concert",fr
"J'aime lire des articles",fr
"Je love manger du riz",mix
"Ce laptop is not working",mix
"Ils are going à la plage",mix
"This restaurant est très bon",mix
"Je go au travail maintenant",mix
"I like jouer au football avec mes amis",mix
"Il is studying computer science",mix
"Je am watching TV",mix
"This café est incroyable",mix
"I love lire des livres",mix
"Mon smartphone is very slow",mix
"Je need to finish mes devoirs",mix
"He est en train de travailler",mix
"Je enjoy playing football",mix
"Cette journée is amazing",mix
"My frère is very tall",mix
"Elle is going to the gym",mix
"I like manger du gâteau",mix
"Nous are having fun",mix
"I am going au marché",mix
"Cette voiture is new",mix
"Il loves playing basketball",mix
"Je am drinking coffee",mix
"This restaurant sert de bons plats",mix
"Mon père is cooking dinner",mix
"Elle is learning French",mix
"I enjoy nager dans la piscine",mix
"Nous are going to a concert",mix
"Je love lire des articles",mix
